Season,Lg,Tm,,,,,
1985-86,NBA,1st,Kareem Abdul-Jabbar C,Larry Bird F,Dominique Wilkins F,Magic Johnson G,Isiah Thomas G
1985-86,NBA,2nd,Hakeem Olajuwon C,Charles Barkley F,Alex English F,Sidney Moncrief G,Alvin Robertson G
1984-85,NBA,1st,Moses Malone C,Larry Bird F,Bernard King F,Isiah Thomas G,Magic Johnson G
1984-85,NBA,2nd,Kareem Abdul-Jabbar C,Ralph Sampson F,Terry Cummings F,Sidney Moncrief G,Michael Jordan G
1983-84,NBA,1st,Kareem Abdul-Jabbar C,Bernard King F,Larry Bird F,Magic Johnson G,Isiah Thomas G
1983-84,NBA,2nd,Moses Malone C,Adrian Dantley F,Julius Erving F,Jim Paxson G,Sidney Moncrief G
1982-83,NBA,1st,Moses Malone C,Larry Bird F,Julius Erving F,Sidney Moncrief G,Magic Johnson G
1982-83,NBA,2nd,Kareem Abdul-Jabbar C,Alex English F,Buck Williams F,George Gervin G,Isiah Thomas G
1981-82,NBA,1st,Moses Malone C,Julius Erving F,Larry Bird F,Gus Williams G,George Gervin G
1981-82,NBA,2nd,Robert Parish C,Alex English F,Bernard King F,Sidney Moncrief G,Magic Johnson G
1980-81,NBA,1st,Kareem Abdul-Jabbar C,Julius Erving F,Larry Bird F,Dennis Johnson G,George Gervin G
1980-81,NBA,2nd,Moses Malone C,Marques Johnson F,Adrian Dantley F,Otis Birdsong G,Tiny Archibald G
1979-80,NBA,1st,Kareem Abdul-Jabbar C,Julius Erving F,Larry Bird F,Paul Westphal G,George Gervin G
1979-80,NBA,2nd,Moses Malone C,Marques Johnson F,Dan Roundfield F,Dennis Johnson G,Gus Williams G
1978-79,NBA,1st,Moses Malone C,Marques Johnson F,Elvin Hayes F,Paul Westphal G,George Gervin G
1978-79,NBA,2nd,Kareem Abdul-Jabbar C,Bob Dandridge F,Walter Davis F,Phil Ford G,World B. Free G
1977-78,NBA,1st,Bill Walton C,Julius Erving F,Truck Robinson F,David Thompson G,George Gervin G
